【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1049 | 北京时间=2026-08-07 16:11:03 | UTC=2026-08-07 08:27:26

MAX 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$19.74B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$19.74B，资金分-0.8；30d-$19.74B 质量=0.30 覆盖=97% 钱包=356 持续=39轮/20天；含断跑gap=4；现货主导100%且无合约低杠杆确认
NEKO 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$8.72B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$8.72B，资金分-0.8；30d-$8.72B 质量=0.30 覆盖=84% 钱包=49 持续=40轮/17天；含断跑gap=2；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
BUDDY 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=30d -$358.80M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$358.80M，资金分-0.4；30d-$358.80M 质量=0.14 覆盖=84% 钱包=6 持续=18轮/10天；持续性不足：18/20轮 10/10天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
UANSEM 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=30d $336.11M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$336.11M，资金分+0.8；30d$336.11M 质量=0.30 覆盖=87% 钱包=14 持续=57轮/12天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
KNTQ 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$107.01M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$107.01M，资金分-0.8；30d-$107.01M 质量=0.30 覆盖=95% 钱包=9 持续=25轮/13天；含断跑gap=2；现货主导100%且无合约低杠杆确认
UPUMP 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$72.46M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$72.46M，资金分-0.8；30d-$72.46M 质量=0.30 覆盖=100% 钱包=16 持续=266轮/28天；含断跑gap=6；现货主导100%且无合约低杠杆确认
ETH 偏空 | rolling_score=-1.5 杠杆项=+0.4 | 最强窗口=30d -$67.03M | 均杠杆=13.700451526952753 高风险占比=66% | 主滚动窗口取30d：-$67.03M，资金分-2.0；杠杆健康：低/中杠杆34% 均13.7x；30d-$67.03M 质量=0.75 覆盖=100% 钱包=47 持续=310轮/27天；含断跑gap=6
BRIDGE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $67.50M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$67.50M，资金分+0.1；72h$67.50M 质量=0.05 覆盖=33% 钱包=3 持续=1轮/1天；窗口未成熟：覆盖33%/50% span=24.0h；持续性不足：1/6轮 1/2天；Top1占比98%；现货主导100%且无合约低杠杆确认
BASED 偏多 | rolling_score=+0.4 杠杆项=+0.0 | 最强窗口=30d $63.55M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$63.55M，资金分+0.4；30d$63.55M 质量=0.14 覆盖=83% 钱包=3 持续=31轮/14天；含断跑gap=4；Top1占比79%；现货主导100%且无合约低杠杆确认
ZEC 偏多 | rolling_score=+2.0 杠杆项=+0.1 | 最强窗口=30d $52.21M | 均杠杆=5.7018066667090705 高风险占比=41% | 主滚动窗口取30d：$52.21M，资金分+2.0；30d$52.21M 质量=0.75 覆盖=100% 钱包=36 持续=335轮/28天；含断跑gap=6
LIT 偏多 | rolling_score=+2.4 杠杆项=+0.4 | 最强窗口=30d $30.41M | 均杠杆=4.869825070881357 高风险占比=1% | 主滚动窗口取30d：$30.41M，资金分+2.0；杠杆健康：低/中杠杆99% 均4.9x；30d$30.41M 质量=0.75 覆盖=100% 钱包=9 持续=317轮/28天；含断跑gap=6
HYPE 偏空 | rolling_score=-1.6 杠杆项=+0.1 | 最强窗口=30d -$24.81M | 均杠杆=6.610129593173817 高风险占比=42% | 主滚动窗口取30d：-$24.81M，资金分-2.0；30d-$24.81M 质量=0.75 覆盖=100% 钱包=56 持续=319轮/27天；含断跑gap=6；存在反向滚动窗口1组，冲突扣分+0.2
HWAVE 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=30d -$17.87M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$17.87M，资金分-0.1；30d-$17.87M 质量=0.05 覆盖=79% 钱包=1 持续=10轮/10天；持续性不足：10/20轮 10/10天；含断跑gap=1；参与钱包少：1/3个；Top1占比100%
UBONK 偏多 | rolling_score=+0.3 杠杆项=+0.0 | 最强窗口=30d $14.64M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$14.64M，资金分+0.6；30d$14.64M 质量=0.23 覆盖=100% 钱包=4 持续=168轮/27天；含断跑gap=4；Top3占比99%；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
XMR 偏多 | rolling_score=+0.6 杠杆项=+0.1 | 最强窗口=30d $12.38M | 均杠杆=5.132374764960166 高风险占比=1% | 主滚动窗口取30d：$12.38M，资金分+0.5；30d$12.38M 质量=0.20 覆盖=100% 钱包=1 持续=337轮/27天；含断跑gap=6；参与钱包少：1/3个；Top1占比100%
XRP 偏空 | rolling_score=-1.1 杠杆项=+0.5 | 最强窗口=15d -$7.24M | 均杠杆=15.771177672240203 高风险占比=99% | 主滚动窗口取15d：-$7.24M，资金分-1.6；杠杆健康：低/中杠杆1% 均15.8x；15d-$7.24M 质量=0.75 覆盖=82% 钱包=9 持续=161轮/13天；含断跑gap=3
