【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1638 | 北京时间=2026-09-01 10:01:26 | UTC=2026-09-01 02:17:52

BRIDGE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d $423.10M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$423.10M，资金分+0.1；30d$423.10M 质量=0.05 覆盖=71% 钱包=4 持续=22轮/8天；持续性不足：22/20轮 8/10天；Top1占比99%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理
NEKO 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$267.28M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$267.28M，资金分-0.8；30d-$267.28M 质量=0.30 覆盖=87% 钱包=46 持续=25轮/15天；含断跑gap=2；现货主导100%且无合约低杠杆确认
BASED 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d $266.24M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$266.24M，资金分+0.1；30d$266.24M 质量=0.05 覆盖=94% 钱包=2 持续=19轮/15天；持续性不足：19/20轮 15/10天；参与钱包少：2/3个；Top1占比78%；现货主导100%且无合约低杠杆确认
BTC 偏多 | rolling_score=+1.9 杠杆项=-0.6 | 最强窗口=30d $142.79M | 均杠杆=25.973982166056377 高风险占比=91% | 主滚动窗口取30d：$142.79M，资金分+2.0；杠杆风险：高风险91% 均26.0x；30d$142.79M 质量=0.75 覆盖=100% 钱包=73 持续=362轮/31天；含断跑gap=7；其他成熟窗口同向确认2组，确认分+0.5
UPUMP 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=72h $85.17M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$85.17M，资金分+0.6；72h$85.17M 质量=0.40 覆盖=99% 钱包=6 持续=41轮/4天；现货主导100%且无合约低杠杆确认
UANSEM 偏多 | rolling_score=+0.8 杠杆项=+0.0 | 最强窗口=30d $83.74M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$83.74M，资金分+0.8；30d$83.74M 质量=0.30 覆盖=96% 钱包=10 持续=26轮/11天；含断跑gap=2；现货主导100%且无合约低杠杆确认
ETH 偏多 | rolling_score=+1.4 杠杆项=-0.5 | 最强窗口=30d $65.86M | 均杠杆=16.744601929648656 高风险占比=88% | 主滚动窗口取30d：$65.86M，资金分+2.0；杠杆风险：高风险88% 均16.7x；30d$65.86M 质量=0.75 覆盖=100% 钱包=72 持续=377轮/31天；含断跑gap=7
BUDDY 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=15d $53.55M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$53.55M，资金分+0.5；15d$53.55M 质量=0.23 覆盖=91% 钱包=5 持续=15轮/7天；含断跑gap=1；Top3占比97%；现货主导100%且无合约低杠杆确认
UBONK 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d $50.51M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$50.51M，资金分+0.1；30d$50.51M 质量=0.05 覆盖=100% 钱包=1 持续=169轮/31天；含断跑gap=3；参与钱包少：1/3个；Top1占比100%；现货主导100%且无合约低杠杆确认
ZEC 偏空 | rolling_score=-1.6 杠杆项=+0.3 | 最强窗口=30d -$44.86M | 均杠杆=8.479098263150217 高风险占比=75% | 主滚动窗口取30d：-$44.86M，资金分-2.0；杠杆健康：低/中杠杆25% 均8.5x；30d-$44.86M 质量=0.75 覆盖=100% 钱包=89 持续=369轮/31天；含断跑gap=7；其他成熟窗口同向确认1组，确认分-0.2；存在反向滚动窗口1组，冲突扣分+0.2
SOL 偏空 | rolling_score=-1.4 杠杆项=+0.5 | 最强窗口=30d -$34.71M | 均杠杆=14.305220629164074 高风险占比=82% | 主滚动窗口取30d：-$34.71M，资金分-2.0；杠杆健康：低/中杠杆18% 均14.3x；30d-$34.71M 质量=0.75 覆盖=100% 钱包=38 持续=374轮/30天；含断跑gap=7；其他成熟窗口同向确认1组，确认分-0.2；存在反向滚动窗口1组，冲突扣分+0.2
