【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=688 | 北京时间=2026-07-19 08:00:47 | UTC=2026-07-19 00:17:07

MAX 偏空 | rolling_score=-0.4 杠杆项=+0.0 | 最强窗口=15d -$20.18B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：-$20.18B，资金分-0.6；15d-$20.18B 质量=0.30 覆盖=96% 钱包=360 持续=22轮/12天；含断跑gap=1；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
NEKO 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=72h -$860.17M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$860.17M，资金分-0.5；72h-$860.17M 质量=0.30 覆盖=74% 钱包=3 持续=8轮/3天；Top3占比100%；现货主导100%且无合约低杠杆确认
BUDDY 偏空 | rolling_score=-0.0 杠杆项=+0.0 | 最强窗口=15d -$342.12M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：-$342.12M，资金分-0.3；15d-$342.12M 质量=0.14 覆盖=94% 钱包=5 持续=3轮/3天；持续性不足：3/12轮 3/6天；含断跑gap=1；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
HYPE 偏空 | rolling_score=-1.7 杠杆项=+0.1 | 最强窗口=15d -$56.77M | 均杠杆=6.62207380844076 高风险占比=43% | 主滚动窗口取15d：-$56.77M，资金分-1.6；15d-$56.77M 质量=0.75 覆盖=100% 钱包=42 持续=237轮/15天；含断跑gap=2；其他成熟窗口同向确认1组，确认分-0.2
UANSEM 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=72h $49.47M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$49.47M，资金分+0.6；72h$49.47M 质量=0.40 覆盖=75% 钱包=5 持续=10轮/3天；现货主导100%且无合约低杠杆确认
KNTQ 偏空 | rolling_score=-0.6 杠杆项=+0.0 | 最强窗口=15d -$48.92M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：-$48.92M，资金分-0.6；15d-$48.92M 质量=0.30 覆盖=88% 钱包=7 持续=13轮/7天；含断跑gap=1；现货主导100%且无合约低杠杆确认
ETH 偏空 | rolling_score=-1.3 杠杆项=+0.5 | 最强窗口=72h -$38.39M | 均杠杆=14.369039458995006 高风险占比=72% | 主滚动窗口取72h：-$38.39M，资金分-1.6；杠杆健康：低/中杠杆28% 均14.4x；72h-$38.39M 质量=1.00 覆盖=99% 钱包=10 持续=45轮/3天；其他成熟窗口同向确认1组，确认分-0.2
BRIDGE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $34.86M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$34.86M，资金分+0.1；72h$34.86M 质量=0.05 覆盖=0% 钱包=0 持续=1轮/1天；窗口未成熟：覆盖0%/50% span=0.0h；持续性不足：1/6轮 1/2天；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理
BASED 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=15d $32.70M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$32.70M，资金分+0.6；15d$32.70M 质量=0.30 覆盖=100% 钱包=4 持续=75轮/14天；含断跑gap=2；现货主导100%且无合约低杠杆确认
LIT 偏多 | rolling_score=+1.7 杠杆项=+0.4 | 最强窗口=15d $25.73M | 均杠杆=4.854872439570282 高风险占比=1% | 主滚动窗口取15d：$25.73M，资金分+1.6；杠杆健康：低/中杠杆99% 均4.9x；15d$25.73M 质量=0.75 覆盖=100% 钱包=7 持续=218轮/16天；含断跑gap=2；存在反向滚动窗口1组，冲突扣分-0.2
SOL 偏空 | rolling_score=-1.1 杠杆项=+0.5 | 最强窗口=15d -$21.21M | 均杠杆=16.115377527217436 高风险占比=81% | 主滚动窗口取15d：-$21.21M，资金分-1.6；杠杆健康：低/中杠杆19% 均16.1x；15d-$21.21M 质量=0.75 覆盖=100% 钱包=16 持续=232轮/16天；含断跑gap=2
HWAVE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $17.90M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$17.90M，资金分+0.1；72h$17.90M 质量=0.05 覆盖=68% 钱包=1 持续=2轮/2天；持续性不足：2/6轮 2/2天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认
ZEC 偏多 | rolling_score=+1.4 杠杆项=-0.2 | 最强窗口=15d $14.18M | 均杠杆=6.839919597128588 高风险占比=50% | 主滚动窗口取15d：$14.18M，资金分+1.6；杠杆风险：高风险50% 均6.8x；15d$14.18M 质量=0.75 覆盖=100% 钱包=35 持续=212轮/16天；含断跑gap=2；其他成熟窗口同向确认1组，确认分+0.2；存在反向滚动窗口1组，冲突扣分-0.2
UPUMP 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=15d $7.26M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$7.26M，资金分+0.6；15d$7.26M 质量=0.30 覆盖=100% 钱包=12 持续=209轮/15天；含断跑gap=2；现货主导100%且无合约低杠杆确认
UBONK 偏多 | rolling_score=+0.2 杠杆项=+0.0 | 最强窗口=72h $4.60M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$4.60M，资金分+0.2；72h$4.60M 质量=0.11 覆盖=99% 钱包=1 持续=19轮/4天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认
