【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1634 | 北京时间=2026-09-01 06:01:21 | UTC=2026-08-31 22:17:43

BRIDGE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d $423.10M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$423.10M，资金分+0.1；30d$423.10M 质量=0.05 覆盖=71% 钱包=4 持续=22轮/8天；持续性不足：22/20轮 8/10天；Top1占比99%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理
NEKO 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$267.28M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$267.28M，资金分-0.8；30d-$267.28M 质量=0.30 覆盖=87% 钱包=46 持续=25轮/15天；含断跑gap=2；现货主导100%且无合约低杠杆确认
BASED 偏多 | rolling_score=+0.3 杠杆项=+0.0 | 最强窗口=30d $266.39M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$266.39M，资金分+0.3；30d$266.39M 质量=0.11 覆盖=94% 钱包=2 持续=20轮/15天；参与钱包少：2/3个；Top1占比78%；现货主导100%且无合约低杠杆确认
BTC 偏多 | rolling_score=+1.6 杠杆项=-0.6 | 最强窗口=30d $113.30M | 均杠杆=25.97002370701483 高风险占比=91% | 主滚动窗口取30d：$113.30M，资金分+2.0；杠杆风险：高风险91% 均26.0x；30d$113.30M 质量=0.75 覆盖=100% 钱包=73 持续=360轮/30天；含断跑gap=7；其他成熟窗口同向确认1组，确认分+0.2
UANSEM 偏多 | rolling_score=+0.8 杠杆项=+0.0 | 最强窗口=30d $83.74M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$83.74M，资金分+0.8；30d$83.74M 质量=0.30 覆盖=96% 钱包=10 持续=26轮/11天；含断跑gap=2；现货主导100%且无合约低杠杆确认
ETH 偏多 | rolling_score=+1.2 杠杆项=-0.5 | 最强窗口=30d $68.20M | 均杠杆=16.74676234684139 高风险占比=88% | 主滚动窗口取30d：$68.20M，资金分+2.0；杠杆风险：高风险88% 均16.7x；30d$68.20M 质量=0.75 覆盖=100% 钱包=72 持续=377轮/31天；含断跑gap=7；存在反向滚动窗口1组，冲突扣分-0.2
UBONK 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=30d $50.30M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$50.30M，资金分+0.1；30d$50.30M 质量=0.05 覆盖=100% 钱包=1 持续=168轮/30天；含断跑gap=3；参与钱包少：1/3个；Top1占比100%；现货主导100%且无合约低杠杆确认
ZEC 偏空 | rolling_score=-1.6 杠杆项=+0.3 | 最强窗口=30d -$45.51M | 均杠杆=8.481120360665921 高风险占比=75% | 主滚动窗口取30d：-$45.51M，资金分-2.0；杠杆健康：低/中杠杆25% 均8.5x；30d-$45.51M 质量=0.75 覆盖=100% 钱包=89 持续=369轮/30天；含断跑gap=7；其他成熟窗口同向确认1组，确认分-0.2；存在反向滚动窗口1组，冲突扣分+0.2
BUDDY 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=15d $45.09M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取15d：$45.09M，资金分+0.5；15d$45.09M 质量=0.23 覆盖=93% 钱包=5 持续=16轮/7天；含断跑gap=1；Top3占比97%；现货主导100%且无合约低杠杆确认
SOL 偏空 | rolling_score=-1.4 杠杆项=+0.5 | 最强窗口=30d -$35.58M | 均杠杆=14.30593152822582 高风险占比=82% | 主滚动窗口取30d：-$35.58M，资金分-2.0；杠杆健康：低/中杠杆18% 均14.3x；30d-$35.58M 质量=0.75 覆盖=100% 钱包=38 持续=375轮/30天；含断跑gap=7；其他成熟窗口同向确认1组，确认分-0.2；存在反向滚动窗口1组，冲突扣分+0.2
KNTQ 偏多 | rolling_score=+0.8 杠杆项=+0.0 | 最强窗口=30d $26.26M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$26.26M，资金分+0.8；30d$26.26M 质量=0.30 覆盖=96% 钱包=30 持续=110轮/21天；含断跑gap=1；现货主导100%且无合约低杠杆确认
