【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=1047 | 北京时间=2026-08-07 14:00:53 | UTC=2026-08-07 06:17:14

MAX 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$19.74B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$19.74B，资金分-0.8；30d-$19.74B 质量=0.30 覆盖=97% 钱包=356 持续=39轮/20天；含断跑gap=4；现货主导100%且无合约低杠杆确认
NEKO 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=30d -$8.72B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$8.72B，资金分-0.8；30d-$8.72B 质量=0.30 覆盖=84% 钱包=49 持续=40轮/17天；含断跑gap=2；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
BUDDY 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=30d -$358.80M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$358.80M，资金分-0.4；30d-$358.80M 质量=0.14 覆盖=84% 钱包=6 持续=18轮/10天；持续性不足：18/20轮 10/10天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分+0.2
UANSEM 偏多 | rolling_score=+0.5 杠杆项=+0.0 | 最强窗口=30d $336.11M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$336.11M，资金分+0.8；30d$336.11M 质量=0.30 覆盖=87% 钱包=14 持续=57轮/12天；含断跑gap=3；现货主导100%且无合约低杠杆确认；存在反向滚动窗口1组，冲突扣分-0.2
KNTQ 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$107.01M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$107.01M，资金分-0.8；30d-$107.01M 质量=0.30 覆盖=95% 钱包=9 持续=25轮/13天；含断跑gap=2；现货主导100%且无合约低杠杆确认
UPUMP 偏空 | rolling_score=-0.8 杠杆项=+0.0 | 最强窗口=30d -$73.34M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$73.34M，资金分-0.8；30d-$73.34M 质量=0.30 覆盖=100% 钱包=16 持续=268轮/28天；含断跑gap=6；现货主导100%且无合约低杠杆确认
ETH 偏空 | rolling_score=-1.5 杠杆项=+0.4 | 最强窗口=30d -$69.92M | 均杠杆=13.712407658969113 高风险占比=66% | 主滚动窗口取30d：-$69.92M，资金分-2.0；杠杆健康：低/中杠杆34% 均13.7x；30d-$69.92M 质量=0.75 覆盖=100% 钱包=48 持续=312轮/27天；含断跑gap=6
BRIDGE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $67.50M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$67.50M，资金分+0.1；72h$67.50M 质量=0.05 覆盖=33% 钱包=3 持续=1轮/1天；窗口未成熟：覆盖33%/50% span=24.0h；持续性不足：1/6轮 1/2天；Top1占比98%；现货主导100%且无合约低杠杆确认
BASED 偏多 | rolling_score=+0.4 杠杆项=+0.0 | 最强窗口=30d $63.55M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$63.55M，资金分+0.4；30d$63.55M 质量=0.14 覆盖=83% 钱包=3 持续=31轮/14天；含断跑gap=4；Top1占比79%；现货主导100%且无合约低杠杆确认
ZEC 偏多 | rolling_score=+2.0 杠杆项=+0.1 | 最强窗口=30d $53.15M | 均杠杆=5.714620367578902 高风险占比=41% | 主滚动窗口取30d：$53.15M，资金分+2.0；30d$53.15M 质量=0.75 覆盖=100% 钱包=36 持续=335轮/28天；含断跑gap=6
BTC 偏多 | rolling_score=+0.6 杠杆项=-0.6 | 最强窗口=72h $42.97M | 均杠杆=24.183704317989392 高风险占比=90% | 主滚动窗口取72h：$42.97M，资金分+1.2；杠杆风险：高风险90% 均24.2x；72h$42.97M 质量=0.75 覆盖=99% 钱包=13 持续=38轮/4天；含断跑gap=2
LIT 偏多 | rolling_score=+2.4 杠杆项=+0.4 | 最强窗口=30d $30.16M | 均杠杆=4.869847063153788 高风险占比=1% | 主滚动窗口取30d：$30.16M，资金分+2.0；杠杆健康：低/中杠杆99% 均4.9x；30d$30.16M 质量=0.75 覆盖=100% 钱包=9 持续=316轮/28天；含断跑gap=6
HYPE 偏空 | rolling_score=-1.3 杠杆项=+0.1 | 最强窗口=30d -$27.41M | 均杠杆=6.609807091450133 高风险占比=42% | 主滚动窗口取30d：-$27.41M，资金分-2.0；30d-$27.41M 质量=0.75 覆盖=100% 钱包=56 持续=321轮/27天；含断跑gap=6；存在反向滚动窗口2组，冲突扣分+0.5
HWAVE 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=30d -$17.87M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：-$17.87M，资金分-0.1；30d-$17.87M 质量=0.05 覆盖=79% 钱包=1 持续=10轮/10天；持续性不足：10/20轮 10/10天；含断跑gap=1；参与钱包少：1/3个；Top1占比100%
UBONK 偏多 | rolling_score=+0.6 杠杆项=+0.0 | 最强窗口=30d $14.65M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取30d：$14.65M，资金分+0.6；30d$14.65M 质量=0.23 覆盖=100% 钱包=4 持续=170轮/27天；含断跑gap=4；Top3占比99%；现货主导100%且无合约低杠杆确认
XMR 偏多 | rolling_score=+0.6 杠杆项=+0.1 | 最强窗口=30d $12.32M | 均杠杆=5.132152878036326 高风险占比=1% | 主滚动窗口取30d：$12.32M，资金分+0.5；30d$12.32M 质量=0.20 覆盖=100% 钱包=1 持续=337轮/27天；含断跑gap=6；参与钱包少：1/3个；Top1占比100%
XRP 偏空 | rolling_score=-1.1 杠杆项=+0.5 | 最强窗口=15d -$7.11M | 均杠杆=15.764001098120472 高风险占比=99% | 主滚动窗口取15d：-$7.11M，资金分-1.6；杠杆健康：低/中杠杆1% 均15.8x；15d-$7.11M 质量=0.75 覆盖=81% 钱包=9 持续=159轮/13天；含断跑gap=3
